Group,Alignment Score
Argentina,0.5007431102263094
Australia,0.3654859213975575
Brazil,0.4932403023873222
Egypt,0.49033552070140857
New Zealand,0.3991930046796037
Canada,0.4852755333026247
China,0.4471133124210482
France,0.6316771204811619
Germany,0.48717463282772505
India (Current national sample),0.443511166345489
Japan,0.5060652982435419
Nigeria,0.5717278066662954
Spain,0.5363486948257672
United States,0.5296146576435886
